[2025-09-18T18:37:41.068+0000] {processor.py:186} INFO - Started process (PID=120) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-09-18T18:37:41.070+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-09-18T18:37:41.075+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:41.074+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-09-18T18:37:39.871+0000] {processor.py:925} INFO - DAG(s) 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1', 'dataset_consumes_1_and_2', 'dataset_consumes_unknown_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_1', 'dataset_consumes_1_never_scheduled', 'dataset_produces_2', 'consume_1_or_2_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-09-18T18:37:39.991+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:39.990+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-09-18T18:37:40.062+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.061+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-09-17 01:00:00+00:00, run_after=2025-09-17 01:00:00+00:00
[2025-09-18T18:37:40.072+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.072+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-09-18T18:37:40.076+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.075+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-09-18T18:37:40.080+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.079+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-09-18T18:37:40.083+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.083+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-09-18T18:37:40.087+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.087+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-09-18T18:37:40.091+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.091+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-09-18T18:37:40.095+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.094+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-09-18T18:37:40.103+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.102+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-09-17 00:00:00+00:00, run_after=2025-09-18 00:00:00+00:00
[2025-09-18T18:37:40.106+0000] {logging_mixin.py:190} INFO - [2025-09-18T18:37:40.105+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-09-18T18:37:40.179+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.699 seconds
